district_number,district_name,station_number,station_name,last_name,first_name,party_name,votes
46001,Brandon--Souris,30,Brandon,Wastasecoot,Melissa Joy,NDP-New Democratic Party,21
46001,Brandon--Souris,30,Brandon,Wyman,Jodi,Liberal,113
46001,Brandon--Souris,31,Brandon,Maguire,Larry,Conservative,57
46001,Brandon--Souris,31,Brandon,Neufeld,David,Green Party,14
46001,Brandon--Souris,31,Brandon,Wastasecoot,Melissa Joy,NDP-New Democratic Party,45
46001,Brandon--Souris,31,Brandon,Wyman,Jodi,Liberal,106
46001,Brandon--Souris,32,Brandon,Maguire,Larry,Conservative,47
46001,Brandon--Souris,32,Brandon,Neufeld,David,Green Party,18
46001,Brandon--Souris,32,Brandon,Wastasecoot,Melissa Joy,NDP-New Democratic Party,25
46001,Brandon--Souris,32,Brandon,Wyman,Jodi,Liberal,101
46001,Brandon--Souris,33,Brandon,Maguire,Larry,Conservative,129
46001,Brandon--Souris,33,Brandon,Neufeld,David,Green Party,8
46001,Brandon--Souris,33,Brandon,Wastasecoot,Melissa Joy,NDP-New Democratic Party,6
46001,Brandon--Souris,33,Brandon,Wyman,Jodi,Liberal,123
46001,Brandon--Souris,34,Brandon,Maguire,Larry,Conservative,110
46001,Brandon--Souris,34,Brandon,Neufeld,David,Green Party,23
46001,Brandon--Souris,34,Brandon,Wastasecoot,Melissa Joy,NDP-New Democratic Party,14
46001,Brandon--Souris,34,Brandon,Wyman,Jodi,Liberal,146
46001,Brandon--Souris,35,Brandon,Maguire,Larry,Conservative,102
46001,Brandon--Souris,35,Brandon,Neufeld,David,Green Party,11
46001,Brandon--Souris,35,Brandon,Wastasecoot,Melissa Joy,NDP-New Democratic Party,23
46001,Brandon--Souris,35,Brandon,Wyman,Jodi,Liberal,127
46001,Brandon--Souris, 36A,Brandon,Maguire,Larry,Conservative,56
46001,Brandon--Souris, 36A,Brandon,Neufeld,David,Green Party,8
46001,Brandon--Souris, 36A,Brandon,Wastasecoot,Melissa Joy,NDP-New Democratic Party,19
46001,Brandon--Souris, 36A,Brandon,Wyman,Jodi,Liberal,82
46001,Brandon--Souris, 36B,Brandon,Maguire,Larry,Conservative,62
46001,Brandon--Souris, 36B,Brandon,Neufeld,David,Green Party,7
46001,Brandon--Souris, 36B,Brandon,Wastasecoot,Melissa Joy,NDP-New Democratic Party,19
46001,Brandon--Souris, 36B,Brandon,Wyman,Jodi,Liberal,76
46001,Brandon--Souris,37,Brandon,Maguire,Larry,Conservative,106
46001,Brandon--Souris,37,Brandon,Neufeld,David,Green Party,19
46001,Brandon--Souris,37,Brandon,Wastasecoot,Melissa Joy,NDP-New Democratic Party,18
46001,Brandon--Souris,37,Brandon,Wyman,Jodi,Liberal,143
46001,Brandon--Souris,38,Brandon,Maguire,Larry,Conservative,63
46001,Brandon--Souris,38,Brandon,Neufeld,David,Green Party,6
46001,Brandon--Souris,38,Brandon,Wastasecoot,Melissa Joy,NDP-New Democratic Party,27
46001,Brandon--Souris,38,Brandon,Wyman,Jodi,Liberal,126
46001,Brandon--Souris,39,Brandon,Maguire,Larry,Conservative,105
46001,Brandon--Souris,39,Brandon,Neufeld,David,Green Party,20
46001,Brandon--Souris,39,Brandon,Wastasecoot,Melissa Joy,NDP-New Democratic Party,16
46001,Brandon--Souris,39,Brandon,Wyman,Jodi,Liberal,113
46001,Brandon--Souris,40,Brandon,Maguire,Larry,Conservative,98
46001,Brandon--Souris,40,Brandon,Neufeld,David,Green Party,13
46001,Brandon--Souris,40,Brandon,Wastasecoot,Melissa Joy,NDP-New Democratic Party,10
46001,Brandon--Souris,40,Brandon,Wyman,Jodi,Liberal,104
46001,Brandon--Souris,41,Brandon,Maguire,Larry,Conservative,82
46001,Brandon--Souris,41,Brandon,Neufeld,David,Green Party,11
46001,Brandon--Souris,41,Brandon,Wastasecoot,Melissa Joy,NDP-New Democratic Party,9
46001,Brandon--Souris,41,Brandon,Wyman,Jodi,Liberal,95
46001,Brandon--Souris,42,Brandon,Maguire,Larry,Conservative,66
46001,Brandon--Souris,42,Brandon,Neufeld,David,Green Party,12
46001,Brandon--Souris,42,Brandon,Wastasecoot,Melissa Joy,NDP-New Democratic Party,14
46001,Brandon--Souris,42,Brandon,Wyman,Jodi,Liberal,100
46001,Brandon--Souris,43,Brandon,Maguire,Larry,Conservative,61
46001,Brandon--Souris,43,Brandon,Neufeld,David,Green Party,6
46001,Brandon--Souris,43,Brandon,Wastasecoot,Melissa Joy,NDP-New Democratic Party,14
46001,Brandon--Souris,43,Brandon,Wyman,Jodi,Liberal,73
46001,Brandon--Souris, 44A,Brandon,Maguire,Larry,Conservative,79
46001,Brandon--Souris, 44A,Brandon,Neufeld,David,Green Party,17
46001,Brandon--Souris, 44A,Brandon,Wastasecoot,Melissa Joy,NDP-New Democratic Party,11
46001,Brandon--Souris, 44A,Brandon,Wyman,Jodi,Liberal,83
46001,Brandon--Souris, 44B,Brandon,Maguire,Larry,Conservative,69
46001,Brandon--Souris, 44B,Brandon,Neufeld,David,Green Party,7
46001,Brandon--Souris, 44B,Brandon,Wastasecoot,Melissa Joy,NDP-New Democratic Party,5
46001,Brandon--Souris, 44B,Brandon,Wyman,Jodi,Liberal,68
46001,Brandon--Souris,45,Brandon,Maguire,Larry,Conservative,108
46001,Brandon--Souris,45,Brandon,Neufeld,David,Green Party,8
46001,Brandon--Souris,45,Brandon,Wastasecoot,Melissa Joy,NDP-New Democratic Party,13
46001,Brandon--Souris,45,Brandon,Wyman,Jodi,Liberal,93
46001,Brandon--Souris,46,Brandon,Maguire,Larry,Conservative,102
46001,Brandon--Souris,46,Brandon,Neufeld,David,Green Party,13
46001,Brandon--Souris,46,Brandon,Wastasecoot,Melissa Joy,NDP-New Democratic Party,9
46001,Brandon--Souris,46,Brandon,Wyman,Jodi,Liberal,90
